candidate_id,testcase_class,source_file
73,org.apache.activemq.transport.stomp.auto.StompAutoNioSslTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-stomp/src/test/java/org/apache/activemq/transport/stomp/auto/StompAutoNioSslTest.java
74,org.apache.activemq.java.JavaNetworkConnectorTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-runtime-config/src/test/java/org/apache/activemq/java/JavaNetworkConnectorTest.java
75,org.apache.activemq.bugs.AMQ5712Test,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-unit-tests/src/test/java/org/apache/activemq/bugs/AMQ5712Test.java
76,org.apache.activemq.transport.auto.AutoTransportConfigureTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-unit-tests/src/test/java/org/apache/activemq/transport/auto/AutoTransportConfigureTest.java
77,org.apache.activemq.transport.stomp.Stomp12NIOTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-stomp/src/test/java/org/apache/activemq/transport/stomp/Stomp12NIOTest.java
78,org.apache.activemq.bugs.AMQ4361Test,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-unit-tests/src/test/java/org/apache/activemq/bugs/AMQ4361Test.java
79,org.apache.activemq.ActiveMQXAConnectionFactoryTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-unit-tests/src/test/java/org/apache/activemq/ActiveMQXAConnectionFactoryTest.java
80,org.apache.activemq.network.NetworkLoopBackTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-unit-tests/src/test/java/org/apache/activemq/network/NetworkLoopBackTest.java
81,org.apache.activemq.transport.reliable.ReliableTransportTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-unit-tests/src/test/java/org/apache/activemq/transport/reliable/ReliableTransportTest.java
82,org.apache.activemq.network.CompressionOverNetworkTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-unit-tests/src/test/java/org/apache/activemq/network/CompressionOverNetworkTest.java
83,org.apache.activemq.jmx.JmxAuditLogTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-unit-tests/src/test/java/org/apache/activemq/jmx/JmxAuditLogTest.java
84,org.apache.activemq.transport.stomp.auto.StompAutoSslAuthTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-stomp/src/test/java/org/apache/activemq/transport/stomp/auto/StompAutoSslAuthTest.java
85,org.apache.activemq.ConnectionCleanupTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-unit-tests/src/test/java/org/apache/activemq/ConnectionCleanupTest.java
86,org.apache.activemq.command.ActiveMQMapMessageTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-unit-tests/src/test/java/org/apache/activemq/command/ActiveMQMapMessageTest.java
87,org.apache.activemq.transport.mqtt.MQTTProtocolConverterTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-mqtt/src/test/java/org/apache/activemq/transport/mqtt/MQTTProtocolConverterTest.java
88,org.apache.activemq.bugs.AMQ5844Test,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-unit-tests/src/test/java/org/apache/activemq/bugs/AMQ5844Test.java
89,org.apache.activemq.statistics.QueueSubscriptionInflightMessageSizeTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-unit-tests/src/test/java/org/apache/activemq/statistics/QueueSubscriptionInflightMessageSizeTest.java
90,org.apache.activemq.broker.scheduler.memory.InMemeoryJmsSchedulerTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-unit-tests/src/test/java/org/apache/activemq/broker/scheduler/memory/InMemeoryJmsSchedulerTest.java
